#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
jotunn;Jotunn;Jotunn;Jotunn;;Jotunn;;;;;;;;;x
death_dragon;was burned to death in dragon fire;died trying to tame oxen;died trying to tame oxen;;died trying to tame oxen;;;;;;;;;x
death_gorgon;was turned to stone by a gorgon's gaze;died trying to tame oxen;died trying to tame oxen;;died trying to tame oxen;;;;;;;;;x
MAGIC_FOCUS;Magic Focus;Magic Focus;Magic Focus;;Magic Focus;;;;;;;;;x
focus_magic_title;Magic;Magic Focus;Magic Focus;;Magic Focus;;;;;;;;;x
focus_magic_desc;[This.GetTitledFirstName] spends time on magical pursuits, enhancing their power and reducing their negative side-effects.;Magic Focus;Magic Focus;;Magic Focus;;;;;;;;;x
focus_ch_magic_title;Magic;Magic Focus;Magic Focus;;Magic Focus;;;;;;;;;x
focus_ch_magic_desc;[This.GetTitledFirstName] is raised to be inquisitive and question all facets of existence.;Magic Focus;Magic Focus;;Magic Focus;;;;;;;;;x
focus_ed_magic_title;Magic;Magic Focus;Magic Focus;;Magic Focus;;;;;;;;;x
focus_ed_magic_desc;[This.GetTitledFirstName] is educated in the mystical arts, preparing to become a true mage.;Magic Focus;Magic Focus;;Magic Focus;;;;;;;;;x
zombies;Zombies;Zombies;Zombies;;Zombies;;;;;;;;;x
zombies_offensive;Zombies Offensive;Zombies;Zombies;;Zombies;;;;;;;;;x
zombies_defensive;Zombies Defensive;Zombies;Zombies;;Zombies;;;;;;;;;x
RETTYPE_CUL_ZOMBIE;Zombies;Zombies;Zombies;;Zombies;;;;;;;;;x
dragon_cavalry;Dragon Raiders;Dragon Riders;Dragon Riders;;Dragon Riders;;;;;;;;;x
dragon_cavalry_offensive;Dragon Raiders Offensive;Dragon Riders;Dragon Riders;;Dragon Riders;;;;;;;;;x
dragon_cavalry_defensive;Dragon Raiders Defensive;Dragon Riders;Dragon Riders;;Dragon Riders;;;;;;;;;x
RETTYPE_CUL_DRAGON;Dragon Raiders;Dragon Riders;Dragon Riders;;Dragon Riders;;;;;;;;;x
lycan_berzerkers;Lycan Berzerkers;Lycan Berzerkers;Lycan Berzerkers;;Lycan Berzerkers;;;;;;;;;x
lycan_berzerkers_offensive;Lycan Berzerkers;Lycan Berzerkers;Lycan Berzerkers;;Lycan Berzerkers;;;;;;;;;x
lycan_berzerkers_defensive;Lycan Berzerkers;Lycan Berzerkers;Lycan Berzerkers;;Lycan Berzerkers;;;;;;;;;x
RETTYPE_CUL_WEREWOLF;Lycan Berzerkers;Lycan Berzerkers;Lycan Berzerkers;;Lycan Berzerkers;;;;;;;;;x
vampires;Vampires;Vampires;Vampires;;Vampires;;;;;;;;;x
vampires_offensive;Vampires;Vampires;Vampires;;Vampires;;;;;;;;;x
vampires_defensive;Vampires;Vampires;Vampires;;Vampires;;;;;;;;;x
RETTYPE_CUL_VAMPIRE;Vampires;Vampires;Vampires;;Vampires;;;;;;;;;x
ca_vampire_citadel_1;Citadel;;;;;;;;;;;;;x
ca_vampire_citadel_1_desc;The citadel is the highest and strongest part of the castle system, a worthy place for the vampire aristocracy to live in.;;;;;;;;;;;;;x
ca_vampire_citadel_2;Huge Citadel;;;;;;;;;;;;;x
ca_vampire_citadel_2_desc;One of the biggest citadel ever built, truly a monument to the might of the vampires.;;;;;;;;;;;;;x
ca_vampire_catacomb;Catacombs;;;;;;;;;;;;;x
ca_vampire_catacomb_desc;Catacombs are used as a burial site, but vampires use these tombs to draw the powers of the undead.;;;;;;;;;;;;;x
ca_werewolf_pits;Fight Pits;;;;;;;;;;;;;x
ca_werewolf_pits_desc;The fighting pits are huge circular arenas that provide the citizens and visitors with entertainment.;;;;;;;;;;;;;x
ca_werewolf_lodge;Hunting Lodge;;;;;;;;;;;;;x
ca_werewolf_lodge_desc;The hunting lodge is a schloss that served to kill the lust of the ruler and his entourage by hunting in the area.;;;;;;;;;;;;;x
ca_giant_arena;Arena;;;;;;;;;;;;;x
ca_giant_arena_desc;Arena is the place where giants honed their skills, as to be ready for the next raid on the small people.;;;;;;;;;;;;;x
ca_giant_shield;Shield Wall;;;;;;;;;;;;;x
ca_giant_shield_desc;A entire hall dedicated glorification of formidable foes slayed by giant blades.;;;;;;;;;;;;;x
ca_giant_hall;Feasting Hall;;;;;;;;;;;;;x
ca_giant_hall_desc;It served as a house for the King and his kin, a meeting hall for the King and his advisors, and a gathering hall.;;;;;;;;;;;;;x
ca_god_pantheon;Pantheon;;;;;;;;;;;;;x
ca_god_pantheon_desc;The temple in which the gods live and where the common folk worship them.;;;;;;;;;;;;;x
ca_dragon_vault_1;Small Treasure Cave;;;;;;;;;;;;;x
ca_dragon_vault_1_desc;A small cave where dragons store their treasure.;;;;;;;;;;;;;x
ca_dragon_vault_2;Large Treasure Cave;;;;;;;;;;;;;x
ca_dragon_vault_2_desc;The treasure cave is the place where dragons amass all their wealth, it is usualy the best protected part of their realm.;;;;;;;;;;;;;x
ca_dragon_tower_1;Small Dragon Tower;;;;;;;;;;;;;x
ca_dragon_tower_1_desc;A small tower form which the dragons could see their surroundings.;;;;;;;;;;;;;x
ca_dragon_tower_2;Dragon Tower;;;;;;;;;;;;;x
ca_dragon_tower_2_desc;From the top of the tower the dragon could see all of its realm and in case of need protect it.;;;;;;;;;;;;;x
ca_dragon_tower_3;Huge Dragon Tower;;;;;;;;;;;;;x
ca_dragon_tower_3_desc;A huge tower that allowed the dragon to see beyond their realm and all possible invasions that could be coming.;;;;;;;;;;;;;x
ca_mage_college;College of Mages;;;;;;;;;;;;;x
ca_mage_college_desc;The place where mages learn how to pratice their craft.;;;;;;;;;;;;;x
ca_mage_library;Library;;;;;;;;;;;;;x
ca_mage_library_desc;The biggest libraries where own by mages and their secrets, inside of them lies so much knowledge that if a regular human where to try to study it all, it would require centuries.;;;;;;;;;;;;;x
tb_vampire_citadel_1;Citadel;;;;;;;;;;;;;x
tb_vampire_citadel_1_desc;The citadel is the highest and strongest part of the castle system, a worthy place for the vampire aristocracy to live in.;;;;;;;;;;;;;x
tb_vampire_citadel_2;Huge Citadel;;;;;;;;;;;;;x
tb_vampire_citadel_2_desc;One of the biggest citadel ever built, truly a monument to the might of the vampires.;;;;;;;;;;;;;x
tb_vampire_catacomb;Catacombs;;;;;;;;;;;;;x
tb_vampire_catacomb_desc;Catacombs are used as a burial site, but vampires use these tombs to draw the powers of the undead.;;;;;;;;;;;;;x
tb_werewolf_pits;Fight Pits;;;;;;;;;;;;;x
tb_werewolf_pits_desc;The fighting pits are huge circular arenas that provide the citizens and visitors with entertainment.;;;;;;;;;;;;;x
tb_werewolf_lodge;Hunting Lodge;;;;;;;;;;;;;x
tb_werewolf_lodge_desc;The hunting lodge is a schloss that served to kill the lust of the ruler and his entourage by hunting in the area.;;;;;;;;;;;;;x
tb_giant_arena;Arena;;;;;;;;;;;;;x
tb_giant_arena_desc;Arena is the place where giants honed their skills, as to be ready for the next raid on the small people.;;;;;;;;;;;;;x
tb_giant_shield;Shield Wall;;;;;;;;;;;;;x
tb_giant_shield_desc;A entire hall dedicated glorification of formidable foes slayed by giant blades.;;;;;;;;;;;;;x
tb_giant_hall;Feasting Hall;;;;;;;;;;;;;x
tb_giant_hall_desc;It served as a house for the King and his kin, a meeting hall for the King and his advisors, and a gathering hall.;;;;;;;;;;;;;x
tb_god_pantheon;Pantheon;;;;;;;;;;;;;x
tb_god_pantheon_desc;The temple in which the gods live and where the common folk worship them.;;;;;;;;;;;;;x
tb_dragon_vault_1;Small Treasure Cave;;;;;;;;;;;;;x
tb_dragon_vault_1_desc;A small cave where dragons store their treasure, blood and treasure.;;;;;;;;;;;;;x
tb_dragon_vault_2;Large Treasure Cave;;;;;;;;;;;;;x
tb_dragon_vault_2_desc;The treasure cave is the place where dragons amass all their wealth, it is usualy the best protected part of their realm.;;;;;;;;;;;;;x
tb_dragon_tower_1;Small Dragon Tower;;;;;;;;;;;;;x
tb_dragon_tower_1_desc;A small tower form which the dragons could see their surroundings.;;;;;;;;;;;;;x
tb_dragon_tower_2;Dragon Tower;;;;;;;;;;;;;x
tb_dragon_tower_2_desc;From the top of the tower the dragon could see all of its realm and in case of need protect it.;;;;;;;;;;;;;x
tb_dragon_tower_3;Huge Dragon Tower;;;;;;;;;;;;;x
tb_dragon_tower_3_desc;A huge tower that allowed the dragon to see beyond their realm and all possible invasions that could be coming.;;;;;;;;;;;;;x
tb_mage_college;College of Mages;;;;;;;;;;;;;x
tb_mage_college_desc;The place where mages learn how to pratice their craft.;;;;;;;;;;;;;x
tb_mage_library;Library;;;;;;;;;;;;;x
tb_mage_library_desc;The biggest libraries were owned by mages to store their many secrets. Inside of them lies so much knowledge that if a regular human were to try to study it all, it would require centuries.;;;;;;;;;;;;;x
BM_MYTH_AND_MAGIC;Myth and Magic;Myth and Magic;Myth and Magic;;Myth and Magic;;;;;;;;;x
BM_MYTH_AND_MAGIC_DESC;Long before the renaissance, when the old gods were still strong and the world was not so well known, men of myth and magic still walked the Earth, though their deeds are now forgotten. Giants roamed in the north, undying men with the blood of wolves and bats inspired the fear of the world, and some dabbled in the mystical arts. Through the ages their history became legend, and legend became myth, but in another time, they might instead thrive.;Myth and Magic;Myth and Magic;;Myth and Magic;;;;;;;;;x
BM_MYTH_AND_MAGIC_ERA;Myth and Magic;Myth and Magic;Myth and Magic;;Myth and Magic;;;;;;;;;x
BM_MYTH_AND_MAGIC_ERA_INFO;Long before the renaissance, when the old gods were still strong and the world was not so well known, men of myth and magic still walked the Earth, though their deeds are now forgotten. Giants roamed in the north, undying men with the blood of wolves and bats inspired the fear of the world, and some dabbled in the mystical arts. Through the ages their history became legend, and legend became myth, but in another time, they might instead thrive.;Myth and Magic;Myth and Magic;;Myth and Magic;;;;;;;;;x
ERA_CHAR_INFO_268287;Chief and first among the wolfmen, Velnias leads his small clan as they struggle to survive in a world that fears and does not understand them. Some say the blood of the wolf is a curse, but it may prove to be a blessing...;Era;Era;;Era;;;;;;;;;x
ERA_CHAR_INFO_268366;Brynjolf is among the last few of the old and simple race of giants. His people were made into myths and hunted nearly to extinction by the Northmen who feared them as evil gods, and now they scrape out a living in the far northern mountains, waiting for their chance to return.;Era;Era;;Era;;;;;;;;;x
ERA_CHAR_INFO_268286;The infamous Vlad the Impaler was known for his brutality. To strike fear into the hearts of his enemies, he made examples of entire towns, impaling the villagers on spikes for all to see. But some say his cruelty was more than just malice, and that he not only killed, but was an undead abomination himself that fed upon the blood of the living. Was he cursed by God... or blessed by the Devil?;Era;Era;;Era;;;;;;;;;x
ERA_CHAR_INFO_268290;As Christianity spread throughout Europe, it brought with it teachings that minimized or even demonized the magical arts. As the years passed, court wizards faded into obscurity and no longer had the trust of their Lords. Rhodric is one of few left who still believe in them, and even has some magical talents of his own..;Era;Era;;Era;;;;;;;;;x
ERA_CHAR_INFO_145182;Argos of Achaia is a proud man who believes in faith and tradition. His family through the generations watched as Rome adopted Christianity, then split in two and has declined ever since. In Argos' mind, this is no coincidence, and he strives to return to the traditional Greek faith. Will he relent and pray to the God of his Basileus, or press even harder to return to the glory of the past?;Era;Era;;Era;;;;;;;;;x
ERA_CHAR_INFO_268299;The dragons were once a proud and prolific race, respected for their wisdom and feared for their strength. Over the ages, fear won over respect, and men betrayed and hunted down the mythical beasts whose corpses now litter the world. "Dragonslayers" were praised as heroes, while their victims were condemned as monsters. Rugarth and his family are the only dragons left in the world, on an island so cut off from it that they and the humans there live in peace.;Era;Era;;Era;;;;;;;;;x
EVTNAMEMYTH.1;Cursed!;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.1;Ever since you insulted that shaman on the streets, you've been feeling deathly ill, and a hunger like none you've ever experienced...;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.1;Brains?;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.2;Form the Horde;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.2;As you succumb to the hunger and lose your last ounce of humanity, you know that just as you led in life, so too shall you lead in death.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.2;Glory to the Horde!;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.3;Faith Lost;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.3;As the curse drains your mind, so too does it drain your faith. You find that you no longer believe in anything but whatever force brought you back from the grave.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.3;The gods have no power here.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.4;The Horde Grows;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.4;With our recent success, the horde grows in size, and our enemies' dead rise up to join us.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.4;Glory to the Horde!;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.5;Submit to the Horde.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.5;As your realm and your body crumbles to the plague, you join your join your strength to the all-consuming horde.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.5;Glory to the Horde!;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.6;You Grow Stronger;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.6;As an immortal, the long decades do not wear away at you, but instead make you healthier. You awaken today feeling wiser and stronger than ever before.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.6;Excellent.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.7;Potion Success;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.7;Success! The potion worked marvelously, and your love life seems better already.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.7;Excellent.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.8;Potion Failure;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.8;Failure! Not only has the potion failed to induce any romance, but it seems to have had some... unintended consequences.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.8;Curses!;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.9;Alchemy Success;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.9;Success! You have done what was thought to be impossible and turned iron into gold.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.9;Marvellous!;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.10;Alchemy Failure;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.10;You set out to turn iron into gold, but it seems you've somehow managed to turn all of the gold into iron.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.10;Damn.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.11;Summoning Success;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.11;The ethereal army has arrived just as planned. Your other soldiers are somewhat ill at ease, but you simply tell them that the ghosts are their ancestors to put their fears to rest.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.11;Excellent.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.12;Summoning Failure;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.12;The ethereal army was summoned successfully, but it seems to be fighting for the wrong side.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.12;Oops.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.13;Mysterious Ghost Army;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.13;A strange army of what appears to be ghosts has materialized near your forces. At first your men were terrified, but they seem to be friendly.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.13;Uhh... right, then.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.14;Giant Emergence;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.14;In your travels, you've noticed that everyone you meet outside your realm is incredibly tiny. Or perhaps you and your folk are just very large.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.14;So much the better.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.15;Plague Spreads;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.15;As the horde spreads over your realm and you are finally defeated, you succumb to the plague yourself.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.15;Truly, all is lost.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.16;Spouse Ravaged;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.16;In the bedchamber last night, you found yourself so excited that your more bestial side may have emerged for a moment.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.16;Oh, it's just a scratch.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.17;Spouse Turned;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.17;In the bedchamber last night, you seemed to regain the desire of your younger days. Some biting may have been involved.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.17;So much the better.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.18;Peasant Revolt;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.18;The filthy peasants are up in arms! They say they refuse to be ruled by a monster.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.18;Damn them!;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.19;Revolt!;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.19;The local peasants have revolted! They're outraged that our ruler is a savage monster.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.19;Understandable.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.20;Egyptian Tombs;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.20;The Egyptians have many tombs in which they buried their ancestors. Tales say they buried many riches as well.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.20;We must investigate.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTBMYTH.20;We should not disturb these graves.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.21;Expedition Lost;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.21;It has been weeks since the explorers set out to the tombs in search of wealth, but they have not returned.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.21;We must have this treasure!;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTBMYTH.21;Perhaps it would be best to leave it be.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.22;Expedition Success;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.22;Our explorers have returned, having plundered the Egyptian tombs and bringing with them as much gold as they could carry.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.22;A worthwhile expedition.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.23;Mummy Rising;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.23;The new explorers were never heard from again, and in their place the very dead that occupied the tombs have risen to fight back!;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.23;Disaster!;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.24;Rameses Reborn;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.24;After millenia of slumber, you have returned and taken back the kingdom that is rightfully yours.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.24;As is only right.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.25;Werewolf Limb Regeneration;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.25;Though your crippling injury might have been fatal for normal men, for one of the wolf, even the worst of wounds heal with time.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.25;Much better.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.26;Immortal Wound Heals;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.26;Common men may struggle with injuries for ages and remain scarred forever. An immortal such as yourself need not worry about such things.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.26;So much the better.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.27;Werewolf Eats Prisoner;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.27;Last night was a full moon, and though you tried to restrain yourself, you became the wolf again and broke free of your chambers. While you don't remember exactly what happened, you fear your court is a head smaller today.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.27;Acknowledge your mistake and apologize.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTBMYTH.27;Cover it up.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.28;The Search for Solomon;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.28;Legends say that the great king Solomon once held a powerful ring that allowed him great powers. Some say he could even command a legion of djinn to do his bidding. The man who possessed this ring would be powerful indeed.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.28;We must have it!;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTBMYTH.28;Meaningless superstition.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.29;Seal of Solomon not Found;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.29;Despite your men's best efforts, no sign has yet been uncovered of this powerful ring of Solomon. Some doubt it even exists.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.29;Try harder!;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTBMYTH.29;Oh well...;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.30;Seal of Solomon;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.30;At last! Your men return from their quest and hand you the legendary Seal of Solomon. As you place it on your finger, you know that your kingdom's power will know no bounds.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.30;Glorious!;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.31;Djinni Powers Awaken;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.31;As one of the Djinn, you excell in what mortal men would call magic. While some such men dabble in these arts, your powers go beyond what they will ever achieve.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.31;Indeed.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.32;Immortal Wound Heals;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.32;Common men may struggle with weakness and remain feeble forever. An immortal such as yourself need not worry about such things.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.32;So much the better.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.33;Immortal Wound Heals;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.33;Your mind had grown weak, and lesser men said it would last forever. As an immortal, you know that nothing is eternal... except perhaps yourself.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.33;Much better.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.34;Half-Giant;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.34;You realize upon reflection that your parents are of dramatically different heights, and find yourself somewhere in between.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.34;Oh well.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.35;Fledgling;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.35;As your sire was, so too shall you be. You may not be as powerful for now, but you will be a true vampire in time.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.35;Indeed.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.36;Fledgling grows.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.36;As you reach maturity, so too do your powers. You are now a true vampire.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.36;Excellent.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.37;Pup;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.37;As your sire was, so too shall you be. You may not be as powerful for now, but you will be a true werewolf in time.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.37;Indeed.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.38;Pup grows.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.38;As you reach maturity, so too do your powers. You are now a true werewolf.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.38;Excellent.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.39;Son of Solomon;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.39;You now lead Solomon's Legion, and can truly call yourself as great as King Solomon himself.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.39;Glorious!;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.40;Solomon's Legion Lost;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.40;You have lost control of Solomon's Legion, and all of the prestige that goes with it.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.40;Damn.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.41;Rumors of the Stone;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.41;With your recent successes in alchemy, you've gained an interest in the legendary Philosopher's Stone. It is said that it not only allows easy transmutation, but can even make one immortal. While the secrets to crafting it have long been lost, rumors have reached you of fragments buried with long-dead wizards. With enough of these, you could re-forge a whole Stone.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.41;I must have it!;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTBMYTH.41;A mere old superstition.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.42;Stone Not Found;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.42;Your men have returned empty-handed. The graves they dug up were filled only with useless relics and bones.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.42;Search harder!;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTBMYTH.42;Perhaps it is a waste of time.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.43;Stone Found;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.43;Success! Your men returned with enough pieces of the material that you were able to assemble the Philosopher's Stone. As you first hold it in your hands, you know that untold wealth and power will be yours for all time.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.43;Glorious!;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.44;Religious Conversion;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.44;The spell was cast successfully, and already your errant followers begin to appreciate the true faith.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTOPTAMYTH.44;Excellent.;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTNAMEMYTH.45;Satanists Expelled;Satanist;Satanist;;Satanist;;;;;;;;;x
EVTDESCMYTH.45;The devil-worshippers have been expelled from our holy realm. We hope to never see their kind again.;Satanist;Satanist;;Satanist;;;;;;;;;x
